"week","gmv","product_mrp","list_price","units","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
43,2906376,1950.03319783198,977.195460704607,2998,0.523298257574294,5.10094850948509,0,0,0,0,1,1.468965701,0.412382987,47.08927679,1.012674227,4.667348283,1.431119215,1.929752437,0.650010661,11.87005102,51.8
44,712623,44477.25,35631.15,20,0.201372624670009,5.4,0,1,0,0,0,1.465121155,0.392068817,46.25645566,0.90530289,4.665458571,1.431084956,1.907782791,0.544439794,10.24817287,51.8
44,7762152,1875.89745762712,929.683777239709,8416,0.532518396797203,6.3590799031477,0,0,0,0,0,1.465121155,0.392068817,46.25645566,0.90530289,4.665458571,1.431084956,1.907782791,0.544439794,10.24817287,51.8
44,73995,88995,73995,1,0.168548794876117,9,0,0,1,0,0,1.465121155,0.392068817,46.25645566,0.90530289,4.665458571,1.431084956,1.907782791,0.544439794,10.24817287,51.8
45,73995,88995,73995,1,0.168548794876117,4,0,0,1,0,1,0.580730702,0.359809844,47.25924052,0.995362381,6.339541835,1.686896384,2.525090176,0.711829074,10.01069262,47.3
45,484051,42216,32270.0666666667,15,0.238126238344021,6.8,0,1,0,0,1,0.580730702,0.359809844,47.25924052,0.995362381,6.339541835,1.686896384,2.525090176,0.711829074,10.01069262,47.3
45,5468610,1848.56535564854,903.251548117155,6093,0.560612673442072,5.79179916317992,0,0,0,0,1,0.580730702,0.359809844,47.25924052,0.995362381,6.339541835,1.686896384,2.525090176,0.711829074,10.01069262,47.3
46,417071,42523.75,34755.9166666667,12,0.190781803686564,6.33333333333333,0,1,0,0,0,0.426715035,0.345512796,48.12394637,1.075873087,6.636618066,1.705755062,2.822919574,0.852031982,9.805660757,47.3
46,5130291,1836.04654346338,866.023613963039,5980,0.556946868435122,5.75376454483231,0,0,0,0,0,0.426715035,0.345512796,48.12394637,1.075873087,6.636618066,1.705755062,2.822919574,0.852031982,9.805660757,47.3
47,776674,41569.8571428571,36984.4761904762,21,0.10327887478409,5.47619047619048,0,1,0,0,1,0.399893369,0.339176402,48.86958606,1.147847443,6.689336046,1.707145342,2.966611927,0.969463967,9.628643659,47.3
47,188989,101447.5,94494.5,2,0.0732527241663107,6,0,0,1,0,1,0.399893369,0.339176402,48.86958606,1.147847443,6.689336046,1.707145342,2.966611927,0.969463967,9.628643659,47.3
47,5076132,1896.46505791506,964.444980694981,5321,0.528913300735397,5.54150579150579,0,0,0,0,1,0.399893369,0.339176402,48.86958606,1.147847443,6.689336046,1.707145342,2.966611927,0.969463967,9.628643659,47.3
