"week","product_analytic_sub_category","gmv","product_mrp","list_price","units","Promotion","sla","procurement_sla","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
9,"CameraAccessory",1534,1090,767,2,0.296330275229358,8,1,2,0,4.5665e-05,0.559705192,4.105087346,0,0.028569757,0.02510928,1.175117295,0,0,60
9,"Camera",49000,34950,24500,2,0.298998569384835,4,3,2,0,4.5665e-05,0.559705192,4.105087346,0,0.028569757,0.02510928,1.175117295,0,0,60
10,"AmplifierReceiver",374366,3267.10638297872,1991.3085106383,188,0.405158483684464,6.01063829787234,3.03191489361702,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"Game",5301208,2544.83624912526,1833.5766270119,2920,0.20636982680488,4.18264520643807,31.6382085374388,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"AudioMP3Player",3726556,3038.1512605042,1296.12464985994,2898,0.440705935179524,6.29201680672269,2.5266106442577,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"HomeTheatre",159500,12634.1428571429,11392.8571428571,14,0.113587178997873,4.85714285714286,4.42857142857143,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"Camera",21521114,18264.6458885942,14237.3063660477,1516,0.209602446258342,4.80503978779841,2.76657824933687,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"CameraAccessory",6262733,2269.8476848942,1290.3572176828,5003,0.424351840489988,6.49696207835743,2.82317200921852,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"HomeAudio",6503302,3647.58274760383,2064.02428115016,3150,0.35623518221877,5.69968051118211,2.71182108626198,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"AudioAccessory",428664,1961.59036144578,1244.13855421687,348,0.373612649879274,8.82530120481928,3.48795180722892,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
10,"CameraStorage",439536,1480.03759398496,774.883458646617,572,0.445973332120374,5.48872180451128,2.37593984962406,1,1,0.647848484,0.566995981,14.04481847,0.099667774,2.735966887,0.839060384,1.762966618,0,0,53.45
