"week","gmv","product_mrp","list_price","Promotion","sla","cat_luxury","cat_mid","cat_premium","sale_days","holidays","TV","Digital","Sponsorship","ContentMarketing","OnlineMarketing","Affiliates","SEM","Radio","Other","NPS"
48,57058,38506,28529,0.255637982942785,4,0,1,0,3,0,0.395222404,0.336368137,49.51255449,1.212190537,6.698691171,1.707247835,3.035938502,1.067823347,9.475813497,47.3
48,4290394,3770.2845659164,2286.88156484459,0.357693023537853,4.33333333333333,0,0,0,3,0,0.395222404,0.336368137,49.51255449,1.212190537,6.698691171,1.707247835,3.035938502,1.067823347,9.475813497,47.3
49,3433157,3466.27614276769,2149.04571070758,0.328626413703193,4.97056981840952,0,0,0,0,0,0.43427607,0.414857745,49.17662358,1.163399199,4.613972558,1.175693929,2.644137,1.00402838,8.679413634,48.9
49,139215,37002.75,34803.75,0.0710890694486545,2.5,0,1,0,0,0,0.43427607,0.414857745,49.17662358,1.163399199,4.613972558,1.175693929,2.644137,1.00402838,8.679413634,48.9
50,3786989,3245.52698942682,2090.55481357819,0.303916312908905,5.69560378408459,0,0,0,0,0,0.470977558,0.50944469,48.21917478,1.040046867,2.679242539,0.73783614,2.13616949,0.840960061,7.493491917,50.5
50,117800,47421.6666666667,39266.6666666667,0.163154077030263,8.33333333333333,0,1,0,0,0,0.470977558,0.50944469,48.21917478,1.040046867,2.679242539,0.73783614,2.13616949,0.840960061,7.493491917,50.5
51,213552,46456.2,42710.4,0.0858191400745471,3.8,0,1,0,0,0,0.477369083,0.551365246,47.39356241,0.929773276,2.335912959,0.705556819,1.891092789,0.704376328,6.469609984,50.5
51,3688582,3218.45511720983,2092.07375643225,0.291180022490249,5.22641509433962,0,0,0,0,0,0.477369083,0.551365246,47.39356241,0.929773276,2.335912959,0.705556819,1.891092789,0.704376328,6.469609984,50.5
52,3235796,3580.71548703574,2253.46671338472,0.310191694248272,4.35949544498949,0,0,0,0,0,0.47848216,0.569944268,46.6816332,0.831191721,2.274987042,0.703177155,1.772851782,0.589975713,5.585627343,50.5
52,121593,42167.6666666667,40531,0.0467619047619048,5.33333333333333,0,1,0,0,0,0.47848216,0.569944268,46.6816332,0.831191721,2.274987042,0.703177155,1.772851782,0.589975713,5.585627343,50.5
53,2134801,3482.01465968586,2218.81465968586,0.296005771091844,4.23664921465969,0,0,0,0,0,0.365719191,0.485155161,44.4066039,0.743062524,1.732613907,0.516955212,1.469957423,0.494155366,4.822428693,50.5
